ticker,name,isin,index,kurs,quelle,kaufen_pct,kaufen_pct_vortag,kaufen_richtung,halten_pct,verkaufen_pct,banken,nicht_zuordenbar,empfehlung_yahoo,analysten_yahoo,kursziel,kursziel_vortag,kursziel_richtung,potenzial_pct,kursziel_hoch,kursziel_tief,kursziel_frisch,ziel_eigen,ziel_eigen_hoch,ziel_eigen_tief,anzahl_einzelziele,hochstufungen_30t,abstufungen_30t,netto_30t,letztes_datum,letzte_bank,letzte_aktion,letzte_von,letzte_nach,letzte_klartext,aenderungen_30t,einzelratings
AAPL,Apple Inc.,US0378331005,NASDAQ/DOW,309.35,keine,57,57,bestaetigt,29,14,21,0,kaufen,40,326.34,326.34,bestaetigt,5.5,,,ja,,,,0,0,2,-2,2026-08-10,Jefferies,down,Hold,Underperform,abgestuft von Hold auf Underperform,"2026-08-10 Jefferies: abgestuft von Hold auf Underperform; 2026-08-04 China Renaissance: abgestuft von Buy auf Hold; 2026-07-31 JP Morgan: bestaetigt auf Overweight; 2026-07-31 TD Cowen: bestaetigt auf Buy; 2026-07-31 DA Davidson: bestaetigt auf Neutral",
ABNB,"Airbnb, Inc.",,NASDAQ,187.3,keine,60,60,bestaetigt,35,5,20,1,kaufen,39,175.24,175.24,bestaetigt,-6.4,,,ja,,,,0,1,0,1,2026-08-10,BMO Capital,main,Market Perform,Market Perform,bestaetigt auf Market Perform,"2026-08-10 BMO Capital: bestaetigt auf Market Perform; 2026-08-08 DA Davidson: bestaetigt auf Buy; 2026-08-07 UBS: bestaetigt auf Neutral; 2026-08-07 Citigroup: bestaetigt auf Buy; 2026-08-07 RBC Capital: bestaetigt auf Outperform",
ADBE,Adobe Inc.,US00724F1012,NASDAQ,275.3,keine,29,29,bestaetigt,54,17,24,0,halten,34,270.61,270.61,bestaetigt,-1.7,,,ja,,,,0,0,0,0,2026-08-19,B of A Securities,main,Underperform,Underperform,bestaetigt auf Underperform,2026-08-19 B of A Securities: bestaetigt auf Underperform,
ADI,"Analog Devices, Inc.",US0326541051,NASDAQ,373.09,keine,95,95,bestaetigt,5,0,19,0,klar kaufen,30,466.0,466.0,bestaetigt,24.9,,,ja,,,,0,3,0,3,2026-08-21,BMO Capital,init,Outperform,Outperform,neu aufgenommen auf Outperform,"2026-08-21 BMO Capital: neu aufgenommen auf Outperform; 2026-08-20 JP Morgan: bestaetigt auf Overweight; 2026-08-20 Morgan Stanley: bestaetigt auf Overweight; 2026-08-20 Bernstein: hochgestuft von Market Perform auf Outperform; 2026-08-20 Wells Fargo: bestaetigt auf Overweight",
ADP,"Automatic Data Processing, Inc.",US0530151036,NASDAQ,280.81,keine,33,33,bestaetigt,67,0,9,0,halten,15,286.93,286.93,bestaetigt,2.2,,,nein,,,,0,0,0,0,2026-08-05,Cantor Fitzgerald,reit,Overweight,Overweight,bestaetigt auf Overweight,"2026-08-05 Cantor Fitzgerald: bestaetigt auf Overweight; 2026-08-03 Cantor Fitzgerald: bestaetigt auf Overweight; 2026-07-30 Citigroup: bestaetigt auf Neutral; 2026-07-30 Morgan Stanley: bestaetigt auf Equal-Weight; 2026-07-30 Stifel: bestaetigt auf Hold",
ADS.DE,adidas AG,,DAX,154.45,keine,,,,,,0,0,kaufen,29,202.72,202.72,bestaetigt,31.3,,,,,,,0,0,0,0,,,,,,,,
ADSK,"Autodesk, Inc.",US0527691069,NASDAQ,253.82,keine,80,80,bestaetigt,20,0,15,0,klar kaufen,34,314.19,314.19,bestaetigt,23.8,,,ja,,,,0,2,0,2,2026-08-21,Baird,main,Outperform,Outperform,bestaetigt auf Outperform,"2026-08-21 Baird: bestaetigt auf Outperform; 2026-08-20 Citigroup: bestaetigt auf Neutral; 2026-08-20 Guggenheim: bestaetigt auf Buy; 2026-08-11 Goldman Sachs: neu aufgenommen von Sell auf Neutral; 2026-07-23 Guggenheim: neu aufgenommen auf Buy",
AEP,American Electric Power Company,,NASDAQ,120.94,keine,45,45,bestaetigt,55,0,11,0,kaufen,20,144.2,144.2,bestaetigt,19.2,,,ja,,,,0,0,0,0,2026-08-21,Morgan Stanley,main,Overweight,Overweight,bestaetigt auf Overweight,"2026-08-21 Morgan Stanley: bestaetigt auf Overweight; 2026-08-17 Truist Securities: bestaetigt auf Buy; 2026-08-05 Citigroup: bestaetigt auf Neutral; 2026-08-03 Barclays: bestaetigt auf Equal-Weight; 2026-07-31 Mizuho: bestaetigt auf Neutral",
AIR.DE,Airbus SE,,DAX,203.65,keine,,,,,,0,0,keine Angabe,,,,,,,,,,,,0,0,0,0,,,,,,,,
ALV.DE,Allianz SE v,,DAX,440.8,keine,,,,,,0,0,kaufen,16,429.65,429.65,bestaetigt,-2.5,,,,,,,0,0,0,0,,,,,,,,
