reihe,ticker,tief,lage,faelle,haelt_1_pct,haelt_1.5_pct,haelt_2_pct,haelt_2.5_pct,haelt_3_pct,median_benoetigt_atr
vix,AAPL,1,ruhig,38,36.8,42.1,47.4,50.0,50.0,2.531
vix,AAPL,1,normal,50,44.0,48.0,50.0,58.0,62.0,1.901
vix,AAPL,1,unruhig,39,38.5,53.8,64.1,69.2,76.9,1.301
vix,AAPL,2,ruhig,6,0.0,16.7,16.7,16.7,16.7,7.156
vix,AAPL,2,normal,11,54.5,72.7,72.7,72.7,72.7,0.678
vix,AAPL,2,unruhig,17,29.4,47.1,52.9,52.9,64.7,1.582
vix,AAPL,3+,ruhig,5,0.0,40.0,40.0,40.0,60.0,3.0
vix,AAPL,3+,normal,4,75.0,75.0,100.0,100.0,100.0,0.0
vix,AAPL,3+,unruhig,22,59.1,68.2,72.7,77.3,77.3,0.627
vix,ABBV,1,ruhig,34,41.2,47.1,58.8,64.7,64.7,1.675
vix,ABBV,1,normal,40,20.0,20.0,32.5,37.5,42.5,4.379
vix,ABBV,1,unruhig,45,48.9,55.6,66.7,66.7,66.7,1.308
vix,ABBV,2,ruhig,5,60.0,80.0,80.0,80.0,80.0,0.0
vix,ABBV,2,normal,16,25.0,37.5,43.8,50.0,50.0,2.792
vix,ABBV,2,unruhig,9,33.3,33.3,44.4,44.4,44.4,3.762
vix,ABBV,3+,ruhig,5,80.0,80.0,80.0,80.0,80.0,0.0
vix,ABBV,3+,normal,12,8.3,25.0,41.7,41.7,58.3,2.7
vix,ABBV,3+,unruhig,12,50.0,50.0,58.3,66.7,75.0,0.965
vix,ABNB,1,ruhig,32,34.4,40.6,46.9,46.9,50.0,3.02
vix,ABNB,1,normal,47,27.7,34.0,42.6,53.2,59.6,2.433
vix,ABNB,1,unruhig,25,28.0,36.0,48.0,56.0,60.0,2.082
vix,ABNB,2,ruhig,7,14.3,28.6,28.6,28.6,42.9,4.216
vix,ABNB,2,normal,14,35.7,35.7,57.1,78.6,85.7,1.93
vix,ABNB,2,unruhig,15,26.7,26.7,33.3,46.7,66.7,2.559
vix,ABNB,3+,ruhig,2,0.0,0.0,0.0,0.0,0.0,8.031
vix,ABNB,3+,normal,9,44.4,44.4,44.4,55.6,66.7,2.167
vix,ABNB,3+,unruhig,12,50.0,66.7,75.0,83.3,83.3,1.019
vix,ABT,1,ruhig,31,35.5,48.4,48.4,51.6,54.8,2.161
vix,ABT,1,normal,46,19.6,26.1,34.8,41.3,45.7,3.47
vix,ABT,1,unruhig,34,41.2,47.1,58.8,61.8,64.7,1.675
vix,ABT,2,ruhig,7,14.3,14.3,14.3,14.3,14.3,5.777
vix,ABT,2,normal,18,33.3,50.0,55.6,55.6,61.1,1.632
vix,ABT,2,unruhig,17,47.1,52.9,64.7,70.6,76.5,1.303
vix,ABT,3+,ruhig,6,33.3,33.3,50.0,66.7,66.7,2.103
vix,ABT,3+,normal,16,37.5,37.5,37.5,43.8,50.0,2.974
vix,ABT,3+,unruhig,17,47.1,52.9,58.8,64.7,64.7,1.376
vix,ACN,1,ruhig,30,40.0,46.7,50.0,50.0,50.0,3.121
vix,ACN,1,normal,55,27.3,29.1,38.2,43.6,47.3,3.44
vix,ACN,1,unruhig,39,43.6,46.2,53.8,64.1,66.7,1.628
vix,ACN,2,ruhig,8,0.0,0.0,12.5,12.5,12.5,12.36
vix,ACN,2,normal,14,7.1,14.3,35.7,35.7,35.7,5.166
vix,ACN,2,unruhig,16,25.0,37.5,43.8,50.0,75.0,2.508
vix,ACN,3+,ruhig,7,28.6,42.9,42.9,42.9,42.9,3.495
vix,ACN,3+,normal,11,36.4,45.5,45.5,45.5,45.5,3.069
vix,ACN,3+,unruhig,26,46.2,53.8,69.2,73.1,76.9,1.166
vix,ADBE,1,ruhig,35,25.7,37.1,37.1,42.9,45.7,3.851
vix,ADBE,1,normal,42,14.3,14.3,16.7,19.0,19.0,5.608
vix,ADBE,1,unruhig,29,31.0,34.5,37.9,41.4,41.4,4.19
vix,ADBE,2,ruhig,9,33.3,33.3,44.4,44.4,55.6,2.994
vix,ADBE,2,normal,9,33.3,33.3,33.3,33.3,33.3,3.38
vix,ADBE,2,unruhig,13,15.4,15.4,23.1,23.1,38.5,4.955
vix,ADBE,3+,ruhig,5,40.0,40.0,40.0,40.0,60.0,2.679
vix,ADBE,3+,normal,18,27.8,27.8,33.3,33.3,50.0,2.963
vix,ADBE,3+,unruhig,14,14.3,21.4,28.6,42.9,50.0,3.117
vix,ADI,1,ruhig,36,30.6,44.4,50.0,50.0,61.1,2.281
vix,ADI,1,normal,53,26.4,39.6,50.9,52.8,62.3,1.961
vix,ADI,1,unruhig,42,45.2,52.4,57.1,64.3,78.6,1.357
vix,ADI,2,ruhig,13,38.5,53.8,61.5,61.5,69.2,1.439
vix,ADI,2,normal,12,16.7,33.3,33.3,50.0,50.0,2.816
vix,ADI,2,unruhig,24,54.2,66.7,75.0,75.0,79.2,0.793
vix,ADI,3+,ruhig,4,0.0,0.0,0.0,0.0,25.0,5.703
vix,ADI,3+,normal,16,56.2,56.2,56.2,62.5,68.8,0.923
vix,ADI,3+,unruhig,15,66.7,93.3,93.3,93.3,93.3,0.285
vix,ADP,1,ruhig,29,37.9,41.4,55.2,62.1,62.1,1.806
vix,ADP,1,normal,41,36.6,39.0,48.8,53.7,56.1,2.117
vix,ADP,1,unruhig,43,37.2,44.2,51.2,65.1,69.8,1.998
vix,ADP,2,ruhig,10,40.0,50.0,60.0,60.0,60.0,1.482
vix,ADP,2,normal,12,33.3,33.3,33.3,33.3,50.0,3.079
vix,ADP,2,unruhig,17,41.2,47.1,52.9,52.9,52.9,1.63
vix,ADP,3+,ruhig,8,37.5,37.5,37.5,37.5,37.5,9.384
vix,ADP,3+,normal,14,28.6,35.7,42.9,50.0,71.4,2.441
vix,ADP,3+,unruhig,17,52.9,58.8,70.6,82.4,88.2,0.99
vix,ADSK,1,ruhig,30,30.0,30.0,36.7,43.3,46.7,3.206
