ticker,position,faelle,puffer_x_n,puffer_x_p5,puffer_x_p10,puffer_x_p25,puffer_x_p50,puffer_x_p75,puffer_x_p80,puffer_x_p85,puffer_x_p90,puffer_x_p95,puffer_x_p99,puffer_x_min,puffer_x_max,anstieg_x_n,anstieg_x_p5,anstieg_x_p10,anstieg_x_p25,anstieg_x_p50,anstieg_x_p75,anstieg_x_p80,anstieg_x_p85,anstieg_x_p90,anstieg_x_p95,anstieg_x_p99,anstieg_x_min,anstieg_x_max,abstand_x_n,abstand_x_p5,abstand_x_p10,abstand_x_p25,abstand_x_p50,abstand_x_p75,abstand_x_p80,abstand_x_p85,abstand_x_p90,abstand_x_p95,abstand_x_p99,abstand_x_min,abstand_x_max,rsi_x_n,rsi_x_p5,rsi_x_p10,rsi_x_p25,rsi_x_p50,rsi_x_p75,rsi_x_p80,rsi_x_p85,rsi_x_p90,rsi_x_p95,rsi_x_p99,rsi_x_min,rsi_x_max,ohne_puffer_pct,ziel_atr,ziel_zuerst_0.25_pct,ko_zuerst_0.25_pct,tage_ziel_0.25,tage_ko_0.25,ziel_zuerst_0.5_pct,ko_zuerst_0.5_pct,tage_ziel_0.5,tage_ko_0.5,ziel_zuerst_0.75_pct,ko_zuerst_0.75_pct,tage_ziel_0.75,tage_ko_0.75,ziel_zuerst_1.0_pct,ko_zuerst_1.0_pct,tage_ziel_1.0,tage_ko_1.0,ziel_zuerst_1.25_pct,ko_zuerst_1.25_pct,tage_ziel_1.25,tage_ko_1.25,ziel_zuerst_1.5_pct,ko_zuerst_1.5_pct,tage_ziel_1.5,tage_ko_1.5,ziel_zuerst_1.75_pct,ko_zuerst_1.75_pct,tage_ziel_1.75,tage_ko_1.75,ziel_zuerst_2.0_pct,ko_zuerst_2.0_pct,tage_ziel_2.0,tage_ko_2.0,ziel_zuerst_2.25_pct,ko_zuerst_2.25_pct,tage_ziel_2.25,tage_ko_2.25,ziel_zuerst_2.5_pct,ko_zuerst_2.5_pct,tage_ziel_2.5,tage_ko_2.5,ziel_zuerst_2.75_pct,ko_zuerst_2.75_pct,tage_ziel_2.75,tage_ko_2.75,ziel_zuerst_3.0_pct,ko_zuerst_3.0_pct,tage_ziel_3.0,tage_ko_3.0,ziel_zuerst_3.25_pct,ko_zuerst_3.25_pct,tage_ziel_3.25,tage_ko_3.25,ziel_zuerst_3.5_pct,ko_zuerst_3.5_pct,tage_ziel_3.5,tage_ko_3.5,ziel_zuerst_3.75_pct,ko_zuerst_3.75_pct,tage_ziel_3.75,tage_ko_3.75,ziel_zuerst_4.0_pct,ko_zuerst_4.0_pct,tage_ziel_4.0,tage_ko_4.0
AAPL,alle,192,192,0.0,0.0,0.0,1.376,4.002,4.815,6.408,8.435,11.309,16.843,0.0,20.452,192,-0.442,0.218,0.565,1.122,2.303,2.505,2.64,3.032,3.947,4.762,-2.469,7.605,192,0.353,0.529,0.81,1.164,1.659,1.789,2.062,2.302,2.906,4.145,0.186,5.063,192,30.193,33.915,40.849,53.416,62.199,64.18,66.508,69.136,72.508,78.322,17.91,79.196,27.6,1.01,65.6,34.4,2.0,3.0,69.8,30.2,2.0,4.0,74.0,26.0,2.5,5.0,78.1,21.9,3.0,5.0,79.7,20.3,3.0,7.0,83.3,16.7,3.0,6.5,84.9,15.1,3.0,7.0,85.4,14.6,3.0,7.0,86.5,13.5,3.0,8.5,86.5,13.5,3.0,10.0,86.5,13.5,3.0,10.0,87.5,12.5,3.0,11.5,89.1,10.9,3.0,14.0,89.6,10.4,3.0,15.0,90.6,9.4,3.0,15.0,91.1,8.9,3.0,16.0
AAPL,Tief 1,127,127,0.0,0.0,0.0,1.608,4.05,5.696,7.853,9.622,12.91,16.893,0.0,20.452,127,-0.063,0.232,0.558,1.129,2.409,2.57,2.824,3.198,3.964,4.689,-1.834,5.302,127,0.306,0.49,0.727,1.198,1.664,1.838,2.068,2.277,2.882,4.418,0.186,5.063,127,38.114,43.493,51.579,59.08,65.997,67.359,69.194,71.377,75.173,78.752,30.335,79.196,29.1,1.01,66.9,33.1,2.0,2.5,69.3,30.7,2.0,4.0,71.7,28.3,2.0,5.0,77.2,22.8,2.5,5.0,78.7,21.3,3.0,7.0,81.1,18.9,3.0,7.0,82.7,17.3,3.0,7.5,82.7,17.3,3.0,7.5,84.3,15.7,3.0,9.5,84.3,15.7,3.0,10.5,84.3,15.7,3.0,11.0,85.0,15.0,3.0,12.0,86.6,13.4,3.0,14.0,87.4,12.6,3.0,15.5,88.2,11.8,3.0,15.0,89.0,11.0,3.0,16.5
AAPL,Tief 2,34,34,0.0,0.0,0.575,1.527,4.436,5.396,6.748,8.208,8.926,10.349,0.0,10.658,34,-0.897,-0.239,0.428,1.061,2.134,2.488,2.567,3.093,3.867,6.416,-2.469,7.605,34,0.57,0.607,0.783,1.04,1.259,1.283,1.419,1.879,2.109,3.325,0.343,3.881,34,29.339,30.659,34.794,42.705,51.64,53.208,53.893,55.325,57.83,63.2,22.224,65.135,14.7,1.01,52.9,47.1,2.0,3.0,61.8,38.2,2.0,3.0,73.5,26.5,3.0,3.0,73.5,26.5,3.0,4.0,73.5,26.5,3.0,4.0,82.4,17.6,3.5,3.0,85.3,14.7,4.0,6.0,85.3,14.7,4.0,6.0,85.3,14.7,4.0,6.0,85.3,14.7,4.0,6.0,85.3,14.7,4.0,6.0,85.3,14.7,4.0,10.0,88.2,11.8,4.0,12.5,88.2,11.8,4.0,13.0,91.2,8.8,4.0,15.0,91.2,8.8,4.0,15.0
AAPL,Tief 3,21,21,0.0,0.0,0.333,1.353,4.187,4.256,4.873,5.133,7.881,8.606,0.0,8.788,21,-0.634,0.302,0.682,1.131,1.834,1.851,2.41,2.492,2.508,2.767,-1.333,2.831,21,0.53,0.805,0.913,1.184,1.61,1.925,2.462,2.51,2.849,3.009,0.427,3.049,21,26.276,28.842,33.249,37.293,42.486,44.009,44.196,44.971,47.302,58.332,25.852,61.089,23.8,1.01,66.7,33.3,2.5,4.0,76.2,23.8,3.5,3.0,81.0,19.0,4.0,5.5,85.7,14.3,4.0,6.0,85.7,14.3,4.0,6.0,90.5,9.5,4.0,6.0,90.5,9.5,4.0,6.0,95.2,4.8,4.0,6.0,95.2,4.8,4.0,6.0,95.2,4.8,4.0,6.0,95.2,4.8,4.0,6.0,100.0,0.0,4.0,,100.0,0.0,4.0,,100.0,0.0,4.0,,100.0,0.0,4.0,,100.0,0.0,4.0,
AAPL,Tief 4,8,8,0.0,0.0,0.0,0.048,1.118,1.135,1.152,1.823,2.603,3.227,0.0,3.383,8,0.594,0.723,1.023,1.269,1.711,2.026,2.34,3.017,3.754,4.344,0.465,4.491,8,0.518,0.676,0.888,1.076,2.549,2.709,2.87,2.963,3.045,3.111,0.361,3.127,8,18.662,19.414,28.749,33.732,38.873,39.03,39.186,39.523,39.89,40.184,17.91,40.257,50.0,1.01,87.5,12.5,2.0,1.0,87.5,12.5,2.0,2.0,87.5,12.5,2.0,2.0,87.5,12.5,2.0,2.0,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,,100.0,0.0,2.5,
AAPL,Tief 5,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.487,0.503,0.549,0.627,0.704,0.72,0.735,0.751,0.766,0.778,0.472,0.782,2,1.638,1.642,1.654,1.675,1.695,1.699,1.704,1.708,1.712,1.715,1.634,1.716,2,34.371,34.434,34.622,34.935,35.248,35.311,35.373,35.436,35.498,35.549,34.308,35.561,100.0,1.01,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,,100.0,0.0,6.5,
ABNB,alle,160,160,0.0,0.0,0.78,2.335,4.704,5.35,6.458,7.079,8.689,12.552,0.0,14.31,160,-1.149,-0.055,0.396,0.874,1.474,1.62,1.93,2.409,3.592,5.525,-3.865,6.183,160,0.372,0.554,0.8,1.173,1.548,1.705,1.798,1.912,2.053,2.667,0.048,2.771,160,28.242,31.379,37.885,47.556,56.056,57.251,58.537,62.647,67.031,73.657,20.374,75.002,16.2,0.787,65.6,34.4,2.0,3.0,71.9,28.1,2.0,3.0,73.8,26.2,2.0,4.0,77.5,22.5,2.0,4.5,79.4,20.6,2.0,5.0,81.2,18.8,2.0,6.0,83.1,16.9,2.0,6.0,83.8,16.2,2.0,11.0,84.4,15.6,2.0,14.0,85.6,14.4,2.0,14.0,86.2,13.8,2.5,15.5,87.5,12.5,3.0,15.5,88.1,11.9,3.0,18.0,88.1,11.9,3.0,18.0,89.4,10.6,3.0,21.0,89.4,10.6,3.0,24.0
ABNB,Tief 1,103,103,0.0,0.0,0.669,2.433,4.957,6.19,6.526,7.662,10.448,13.266,0.0,14.31,103,-1.084,-0.036,0.369,0.786,1.528,1.805,2.082,2.416,3.552,5.533,-3.551,6.183,103,0.359,0.488,0.712,1.149,1.566,1.727,1.794,1.915,2.055,2.742,0.048,2.771,103,34.392,40.16,45.548,54.397,58.198,60.369,63.278,64.942,68.328,74.739,25.344,75.002,17.5,0.787,60.2,39.8,2.0,3.0,68.0,32.0,2.0,3.0,70.9,29.1,2.0,4.0,72.8,27.2,2.0,4.5,75.7,24.3,2.0,5.0,78.6,21.4,2.0,6.0,81.6,18.4,2.0,6.0,82.5,17.5,2.0,11.0,83.5,16.5,2.0,15.0,84.5,15.5,2.0,16.0,84.5,15.5,2.0,16.0,85.4,14.6,2.5,16.0,86.4,13.6,3.0,20.0,86.4,13.6,3.0,20.0,86.4,13.6,3.0,21.0,86.4,13.6,3.0,26.0
ABNB,Tief 2,34,34,0.0,0.298,1.413,2.362,3.271,3.778,4.0,5.419,6.676,7.838,0.0,8.358,34,-1.14,-0.37,0.565,0.916,1.457,1.53,1.583,1.786,3.414,3.932,-2.576,4.001,34,0.55,0.639,0.978,1.277,1.532,1.629,1.809,1.843,1.953,2.139,0.143,2.193,34,26.27,28.513,32.705,42.076,48.423,50.849,54.417,54.98,56.252,58.516,20.374,58.519,8.8,0.787,76.5,23.5,2.0,4.0,79.4,20.6,2.0,5.0,79.4,20.6,2.0,6.0,85.3,14.7,3.0,8.0,85.3,14.7,3.0,13.0,85.3,14.7,3.0,14.0,85.3,14.7,3.0,14.0,85.3,14.7,3.0,14.0,85.3,14.7,3.0,14.0,88.2,11.8,3.0,10.5,91.2,8.8,3.0,15.0,91.2,8.8,3.0,15.0,91.2,8.8,3.0,15.0,91.2,8.8,3.0,15.0,94.1,5.9,3.0,25.0,94.1,5.9,3.0,25.5
ABNB,Tief 3,13,13,0.038,0.11,0.478,2.167,5.072,5.897,6.572,6.944,7.55,8.128,0.0,8.272,13,-1.513,0.115,0.396,0.782,1.253,1.349,1.612,2.208,2.57,2.767,-3.865,2.816,13,0.666,0.746,0.929,1.259,1.622,1.678,1.777,1.962,2.247,2.516,0.554,2.584,13,23.002,25.846,33.313,35.102,37.577,37.822,39.42,43.727,45.239,45.329,20.893,45.352,7.7,0.787,69.2,30.8,2.0,2.5,76.9,23.1,2.0,2.0,76.9,23.1,2.0,2.0,84.6,15.4,2.0,2.5,84.6,15.4,2.0,3.0,84.6,15.4,2.0,3.0,84.6,15.4,2.0,3.0,84.6,15.4,2.0,3.0,84.6,15.4,2.0,3.0,84.6,15.4,2.0,3.0,84.6,15.4,2.0,4.0,84.6,15.4,2.0,4.0,84.6,15.4,2.0,4.0,84.6,15.4,2.0,5.0,92.3,7.7,4.0,10.0,92.3,7.7,4.0,11.0
